world_hash,scenario,n_coalitions,seed,penalty,conflict_free_threshold,threshold_condition_met,exact_potential_verified,potential_monotone,better_response_ends_at_nash,strict_moves,finite_profile_bound,final_conflict_pairs,pure_nash_count,conditional_all_nash_conflict_free
4e5f59f35a39778a7af9746a2741b0e51dcdb89d90c0ff41d66096c2c9dffd4a,crossing,2,8700,1.6,0.9449837138355388,True,True,True,True,1,3,0,2,True
792f5195b4e99dcade40e28cd3fd2e8dc02058d4750652c2f2ca882befc4d731,crossing,2,8701,1.6,0.9348565513648772,True,True,True,True,1,3,0,2,True
ac5987bf51f40505961d01c3a45c26cf77fd2284ad6b15000f0c4e2da3126414,crossing,2,8702,1.6,0.9279114624184253,True,True,True,True,1,3,0,2,True
6b68a995a8e4d352ca04c594535efbfb278444b08aac918672f20c88d7799d3e,crossing,2,8703,1.6,1.0352497237459666,True,True,True,True,1,3,0,2,True
ee38ebff70ae3158f46e16191a9cbaf1f5ecc56f0e74e3d822fa46a9f669db0f,crossing,2,8704,1.6,0.9791207996624411,True,True,True,True,1,3,0,2,True
b6e28a18bf16449e331d3e2c498321701a79a83794962e6fde72eab67cc7120d,crossing,2,8705,1.6,0.9619063516162658,True,True,True,True,1,3,0,2,True
2a24562f192eb6425a140ac7e7006232a7b4268eb11f39e4dbf6eabcc9c0a07c,crossing,2,8706,1.6,0.9373277255582728,True,True,True,True,1,3,0,2,True
167bc7af0802d25a3366725f7bef1f653cfa5cca3220dcb534ded9c943335546,crossing,2,8707,1.6,0.9906092495582062,True,True,True,True,1,3,0,2,True
2e5ae7138b2e1d89503273c144c090ba1ff9519105bf3fe2cb52937b37c449e5,crossing,2,8708,1.6,0.9776284234496231,True,True,True,True,1,3,0,2,True
3b996ddd0ba092bbaa7c7410afa6189b5d2de4ffe845671e2bb3ba53c7d13d8e,crossing,2,8709,1.6,0.9278867062138687,True,True,True,True,1,3,0,2,True
3956766b2282288b5440bdf01d9d5f66d3de16947ee9ddab154cfc8599889a41,crossing,2,8710,1.6,0.9410217592203747,True,True,True,True,1,3,0,2,True
67997b56aa64588b21d18c81e69e1dffe005b2eb52a35052ed289dc63df075e4,crossing,2,8711,1.6,0.9928507809558269,True,True,True,True,1,3,0,2,True
8edca1c4cf9427b4636df20e7ffd07ee37d5053024ddd56868d2f8e90b2b0c39,crossing,2,8712,1.6,0.9483006467651407,True,True,True,True,1,3,0,2,True
65c4e3fdf0cd3b5decec147a0830b07299a580acab4e38110299e59b3742c695,crossing,2,8713,1.6,0.9880034938383968,True,True,True,True,1,3,0,2,True
016b4b4999b5b58ecc472ba1720b9c55a91e2b68b506ba6c073ee7c5667555fb,crossing,2,8714,1.6,0.9850193869315458,True,True,True,True,1,3,0,2,True
95075f558c62fabac2f2cd61c192c7064eadf339f61f82845d9429ccd15bfe37,crossing,2,8715,1.6,1.0090149167804494,True,True,True,True,1,3,0,2,True
1e9c2424d5ba026a600646a7e35d04535cc2e7ca173aac267e45c75718fb3cfc,crossing,2,8716,1.6,0.9677026705219909,True,True,True,True,1,3,0,2,True
