case_index,arm,replicate,seed,N,K,M,binary_variable_count,constraint_count,time_limit_seconds,capacity_mode,capacity_cv,total_capacity_kg,total_demand_kg,structural_capacity_feasible,solver_returned_incumbent,mission_feasible_observed,optimal_certified,censored,outcome,solver_status,solver_message,mip_gap,mip_node_count,solver_wall_seconds,matrix_wall_seconds,model_wall_seconds,post_wall_seconds,internal_total_wall_seconds,call_wall_seconds,observed_time_seconds,observed_over_timeout,explicit_model_bytes,estimated_explicit_model_bytes,assigned_robot_count,total_distance
0,fixed_demand,0,4003023177,120,40,120,4800,200,5.0,moderate,0.3501710552848567,600.0,505.8342321463963,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.035599364061933675,0,5.033381,0.0001694,0.0052769,0.0008184,5.0397658,5.0410784,5.033381,1.0066762,212484,212484,106,1183.4247628131243
1,fixed_demand,1,188923549,120,40,120,4800,200,5.0,moderate,0.37716119916097507,600.0,496.71226962423714,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.049479029933502075,0,5.0305351,0.0001667,0.0044284,0.0003773,5.0356246,5.0366777,5.0305351,1.00610702,212484,212484,104,1181.2206233933105
2,fixed_demand,2,1410515601,120,40,120,4800,200,5.0,moderate,0.3843866024978911,600.0,503.5751940731146,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.1402811489460159,0,5.0401298,0.000212,0.0052543,0.0006717,5.0464435,5.0476408,5.0401298,1.0080259599999999,212484,212484,106,1828.6257525696599
3,fixed_demand,0,1487960471,160,40,120,6400,240,5.0,moderate,0.3496042792766526,800.0,509.13162835503624,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.0043358203273855846,0,5.0311117,0.0002739,0.0060866,0.0004191,5.0380413,5.0387344,5.0311117,1.00622234,283044,283044,100,852.0854232931298
4,fixed_demand,1,3933883305,160,40,120,6400,240,5.0,moderate,0.3642127077105194,800.0,513.4158294107134,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.04212858482512232,0,5.03565,0.0002238,0.006909,0.0007246,5.0436755,5.0448723,5.03565,1.00713,283044,283044,104,1010.6739411136856
5,fixed_demand,2,1220786220,160,40,120,6400,240,5.0,moderate,0.3535000710210451,800.0,490.5876193915425,True,True,True,True,False,optimal_certified,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,5,4.1180957,0.00032,0.0077438,0.000942,4.1273383,4.128912,4.1180957,0.8236191399999999,283044,283044,101,807.7702951380128
6,fixed_demand,0,2613363250,220,40,120,8800,300,5.0,moderate,0.3542653433034799,1100.0,500.1768499038899,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.0028659788640021415,0,5.0539288,0.0004119,0.0095849,0.0005503,5.064676,5.066045,5.0539288,1.01078576,388884,388884,97,651.8420360121376
7,fixed_demand,1,3560490758,220,40,120,8800,300,5.0,moderate,0.39599187988510864,1100.0,506.54731505930374,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.006066835921375526,0,5.0516633,0.0003263,0.0102651,0.0009905,5.0634355,5.0654292,5.0516633,1.01033266,388884,388884,101,691.5804284360979
8,fixed_demand,2,63490988,220,40,120,8800,300,5.0,moderate,0.3689200115305557,1100.0,492.63980165090214,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.02129492107427687,0,5.0491319,0.0003257,0.010974,0.0009817,5.0615854,5.0629616,5.0491319,1.00982638,388884,388884,95,683.8245906017661
9,fixed_demand,0,4040079965,300,40,120,12000,380,5.0,moderate,0.3589879396722533,1500.0,505.25990218526556,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.0017671593172637022,0,5.0528312,0.000652,0.0150684,0.0006255,5.0695909,5.0709604,5.0528312,1.01056624,530004,530004,102,562.325065602028
