experiment_id,world_hash,seed,replicate,n_robots,n_loads,heterogeneity,demand_ratio,geometry,graph,lambda2,method,protocol,fitness_mode,step,potential
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,0,6.9427560569930495
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,1,6.96765563931099
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,2,6.985595979069657
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,3,6.999624078921141
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,4,7.011409540996947
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,5,7.0218797448181265
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,6,7.031556157449959
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,7,7.040735428804926
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,8,7.049585653997438
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,9,7.058180808839225
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,10,7.06592084541042
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,11,7.072526446845725
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,12,7.078491524188399
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,13,7.084041787244766
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,14,7.08929060966152
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,15,7.094304273359711
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,16,7.099127260311452
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,17,7.103792240071022
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,18,7.108324224535019
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,19,7.1127426199940995
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,20,7.11706258658371
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,21,7.121296059914399
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,22,7.125452518417757
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,23,7.12953954757388
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,24,7.133563200016613
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,25,7.137528324115268
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,26,7.1414388279973355
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,27,7.145297884503462
