experiment_id,world_hash,seed,replicate,n_robots,n_loads,heterogeneity,demand_ratio,geometry,graph,lambda2,method,protocol,fitness_mode,raw_served_rate,raw_coverage_ratio,final_integer_valid,final_served_rate,final_coverage_ratio,under_capacity,over_capacity_ratio,distance_cost,objective_value,optimal_objective,normalized_regret,continuous_converged,iterations,equilibrium_residual,simplex_error,potential_initial,potential_final,potential_gain,potential_violations,messages,runtime_s
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__plain_deficit,smith,plain_deficit,0.3333333333333333,0.8942295146048499,True,1.0,1.0,0.0,0.37309010262208486,2.9630734589335446,5.027954123285316,5.100398095636594,0.014203591757524489,True,261,0.024526244726998016,2.220446049250313e-16,,,,0,43848,0.04381669987924397
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,0.3333333333333333,0.8942295146048499,True,1.0,1.0,0.0,0.37309010262208486,2.9630734589335446,5.027954123285316,5.100398095636594,0.014203591757524489,True,241,0.02422540039474724,2.220446049250313e-16,6.9427560569930495,7.495723470150988,0.5529674131579387,0,40488,0.043063199846073985
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_log,smith,marginal_log,1.0,1.0,True,1.0,1.0,0.0,0.27405552584304954,2.652719211626628,5.052782463069869,5.100398095636594,0.009335669819079429,True,235,0.02431746496908676,2.220446049250313e-16,1.9918964981210872,6.427556420023417,4.43565992190233,0,39480,0.04654549993574619
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,replicator__plain_deficit,replicator,plain_deficit,0.3333333333333333,0.8942295146048499,True,1.0,1.0,0.0,0.367056311904038,2.964456128993288,5.027843509680537,5.100398095636594,0.014225279006775551,False,300,0.02908568092041181,2.220446049250313e-16,,,,0,50400,0.04908669996075332
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,replicator__marginal_deficit,replicator,marginal_deficit,0.3333333333333333,0.8942295146048499,True,1.0,1.0,0.0,0.38907596133675354,3.0316779428008873,5.022465764575928,5.100398095636594,0.015279656528641756,False,300,0.03126052632480786,2.220446049250313e-16,6.948544995733173,7.380021656321128,0.431476660587955,0,50400,0.053371099987998605
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,replicator__marginal_log,replicator,marginal_log,1.0,1.0,True,1.0,1.0,0.0,0.27405552584304954,2.652719211626628,5.052782463069869,5.100398095636594,0.009335669819079429,True,280,0.024694301129313794,1.1102230246251565e-16,1.9947269194830604,6.354691457919092,4.3599645384360315,0,47040,0.0505020001437515
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,erv_bnn__plain_deficit,erv_bnn,plain_deficit,0.3333333333333333,0.8942295146048499,True,1.0,1.0,0.0,0.37309010262208486,2.9630734589335446,5.027954123285316,5.100398095636594,0.014203591757524489,True,187,0.02431774423631767,1.1102230246251565e-16,,,,0,31416,0.030198699794709682
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,erv_bnn__marginal_deficit,erv_bnn,marginal_deficit,0.3333333333333333,0.8942295146048499,True,1.0,1.0,0.0,0.37309010262208486,2.9630734589335446,5.027954123285316,5.100398095636594,0.014203591757524489,True,188,0.02434771840588025,2.220446049250313e-16,6.936832655464864,7.293379059062068,0.35654640359720435,0,31584,0.037649800069630146
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,erv_bnn__marginal_log,erv_bnn,marginal_log,1.0,1.0,True,1.0,1.0,0.0,0.27405552584304954,2.652719211626628,5.052782463069869,5.100398095636594,0.009335669819079429,True,225,0.024167877799592154,2.220446049250313e-16,1.9680464226887986,5.993136665968901,4.025090243280102,0,37800,0.03853550017811358
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,uniform_closure,none,none,0.0,0.0,True,1.0,1.0,0.0,0.26386382653157947,2.6259449237186425,5.054924406102508,5.100398095636594,0.00891571377006611,True,0,0.0,0.0,,,,0,24,0.00035390001721680164
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,random_closure,none,none,0.6666666666666666,0.9705577423201662,True,0.6666666666666666,0.9952092459687184,0.0172796735031846,0.3553851379016909,3.3476839347799365,3.6518815154690754,5.100398095636594,0.2840006903395892,True,0,0.0,0.0,,,,0,24,0.00046609994024038315
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,greedy_capacity,none,none,0.6666666666666666,0.9705577423201662,True,0.6666666666666666,0.9705577423201662,0.12236777619624672,0.43081856839104243,2.9354969177672956,3.6020580442594703,5.100398095636594,0.293769235907087,True,0,0.0,0.0,,,,0,24,0.0005161999724805355
SP2_HETEROGENEOUS_GAME_v1,10094ae5a1c1d9f7cb38,340000,0,8,3,low,0.7,uniform,complete,7.999999999999991,auction_capacity,none,none,0.6666666666666666,0.9705577423201662,True,0.6666666666666666,0.9705577423201662,0.12236777619624672,0.16065002723810332,1.758898925857447,3.696185883612258,5.100398095636594,0.275314237377989,True,0,0.0,0.0,,,,0,24,0.00026040012016892433
