world_key,scenario,capacity_cv,pressure,graph_regime,mean_degree,order_free,order_connected,free_found,connected_found,blocked,delayed
E3:uniform:p0.7:cv0.0:r0,uniform,0.0,0.7,partitioned,5.75,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r0,uniform,0.0,0.7,threshold,7.125,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r0,uniform,0.0,0.7,medium,10.125,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r0,uniform,0.0,0.7,dense,14.375,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r0,uniform,0.0,0.7,complete,15.0,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r1,uniform,0.0,0.7,partitioned,5.375,1.0,1.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r1,uniform,0.0,0.7,threshold,7.25,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r1,uniform,0.0,0.7,medium,9.375,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r1,uniform,0.0,0.7,dense,12.625,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r1,uniform,0.0,0.7,complete,15.0,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r2,uniform,0.0,0.7,partitioned,3.0,1.0,1.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r2,uniform,0.0,0.7,threshold,3.75,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r2,uniform,0.0,0.7,medium,6.625,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r2,uniform,0.0,0.7,dense,10.125,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r2,uniform,0.0,0.7,complete,15.0,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r3,uniform,0.0,0.7,partitioned,2.375,1.0,1.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r3,uniform,0.0,0.7,threshold,3.375,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r3,uniform,0.0,0.7,medium,5.875,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r3,uniform,0.0,0.7,dense,9.125,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r3,uniform,0.0,0.7,complete,15.0,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r4,uniform,0.0,0.7,partitioned,6.25,1.0,1.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r4,uniform,0.0,0.7,threshold,7.0,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r4,uniform,0.0,0.7,medium,11.875,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r4,uniform,0.0,0.7,dense,14.5,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r4,uniform,0.0,0.7,complete,15.0,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r5,uniform,0.0,0.7,partitioned,3.5,1.0,1.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r5,uniform,0.0,0.7,threshold,4.75,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r5,uniform,0.0,0.7,medium,7.375,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r5,uniform,0.0,0.7,dense,10.875,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r5,uniform,0.0,0.7,complete,15.0,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r6,uniform,0.0,0.7,partitioned,3.75,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r6,uniform,0.0,0.7,threshold,4.375,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r6,uniform,0.0,0.7,medium,8.125,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r6,uniform,0.0,0.7,dense,12.125,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r6,uniform,0.0,0.7,complete,15.0,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r7,uniform,0.0,0.7,partitioned,3.625,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r7,uniform,0.0,0.7,threshold,3.875,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r7,uniform,0.0,0.7,medium,7.625,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r7,uniform,0.0,0.7,dense,11.625,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r7,uniform,0.0,0.7,complete,15.0,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r8,uniform,0.0,0.7,partitioned,2.375,1.0,1.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r8,uniform,0.0,0.7,threshold,3.375,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r8,uniform,0.0,0.7,medium,5.125,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r8,uniform,0.0,0.7,dense,7.75,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r8,uniform,0.0,0.7,complete,15.0,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r9,uniform,0.0,0.7,partitioned,2.625,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r9,uniform,0.0,0.7,threshold,3.25,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r9,uniform,0.0,0.7,medium,5.875,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r9,uniform,0.0,0.7,dense,9.0,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r9,uniform,0.0,0.7,complete,15.0,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r10,uniform,0.0,0.7,partitioned,3.25,1.0,1.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r10,uniform,0.0,0.7,threshold,4.0,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r10,uniform,0.0,0.7,medium,7.375,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r10,uniform,0.0,0.7,dense,11.5,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r10,uniform,0.0,0.7,complete,15.0,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r11,uniform,0.0,0.7,partitioned,2.875,1.0,1.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r11,uniform,0.0,0.7,threshold,3.75,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r11,uniform,0.0,0.7,medium,5.375,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r11,uniform,0.0,0.7,dense,8.875,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r11,uniform,0.0,0.7,complete,15.0,2.0,2.0,True,True,False,False
E3:uniform:p0.7:cv0.0:r12,uniform,0.0,0.7,partitioned,3.5,2.0,2.0,True,True,False,False
