scenario_family,stage,n_worlds,success_rate,physical_false_positive_rate,accepted_rate,mean_time_to_solution_s,mean_messages,mean_runtime_wall_s,collision_rate,dropout_unrecovered_rate,mean_minimum_clearance_m,mean_static_wrench_residual,mean_dynamic_wrench_residual
nominal_rotation,A0_RAW_PREF,100,0.93,0.07,1.0,8.483,6.98,0.22486331898719072,0.0,0.0,0.8959627805578917,0.08808293700849454,0.5720711608318007
nominal_rotation,A1_INTEGER_QR,100,0.93,0.07,1.0,8.483,13.96,0.2222124859993346,0.0,0.0,0.8959627805578917,0.08808293700849454,0.5720711608318007
nominal_rotation,A2_CAPACITY,100,0.93,0.07,1.0,8.483,27.92,0.2226747740060091,0.0,0.0,0.8959627805578917,0.08808293700849454,0.5720711608318007
nominal_rotation,A3_WRENCH_PAIR,100,1.0,0.0,1.0,8.412,49.76,0.5374920160020702,0.0,0.0,0.8689722301930607,7.745511268559459e-17,0.24831061736718804
nominal_rotation,A4_MECHANICS_SAFE,100,1.0,0.0,1.0,8.412,59.0,0.5737745179980993,0.0,0.0,0.8691428441759932,7.745511268559459e-17,0.2482916302759298
nominal_rotation,FULL_ROBUST_LOCAL,100,1.0,0.0,1.0,8.412,442.36,0.5780693580023945,0.0,0.0,0.8691428441759932,7.745511268559459e-17,0.2482916302759298
obstacle_network_dropout,A0_RAW_PREF,100,0.0,1.0,1.0,8.248000000000001,8.05,0.20969327099155635,1.0,0.49,-0.9352030988067491,0.1107734823217403,0.5167004207233972
obstacle_network_dropout,A1_INTEGER_QR,100,0.0,1.0,1.0,8.136000000000001,16.1,0.211691605981905,1.0,0.53,-0.9466099264597504,0.07695186089494271,0.4683962179147108
obstacle_network_dropout,A2_CAPACITY,100,0.0,1.0,1.0,8.136000000000001,32.2,0.21327017500065268,1.0,0.53,-0.9466099264597504,0.07695186089494271,0.4683962179147108
obstacle_network_dropout,A3_WRENCH_PAIR,100,0.0,1.0,1.0,8.189,55.34,0.6397729819943198,1.0,0.75,-1.197399014183804,4.917954932315773e-17,0.23329346109926363
obstacle_network_dropout,A4_MECHANICS_SAFE,100,0.22,0.78,1.0,13.769,66.4,0.7422359469975345,0.11,0.75,0.09497042222437793,4.917954932315773e-17,0.2160570550534402
obstacle_network_dropout,FULL_ROBUST_LOCAL,100,0.89,0.11,1.0,13.155,631.84,0.7217446839949117,0.11,0.0,0.09495025961384344,4.917954932315773e-17,0.1702649766531229
scarcity_capacity,A0_RAW_PREF,100,0.0,1.0,1.0,10.178,5.51,0.15787428000941872,0.02,0.0,0.7835062140001533,0.2082163023182129,0.6595370183567232
scarcity_capacity,A1_INTEGER_QR,100,0.56,0.44,1.0,8.193000000000001,11.02,0.20854147700360046,0.0,0.0,1.175205530542561,0.037356388616707606,0.451386300062182
scarcity_capacity,A2_CAPACITY,100,1.0,0.0,1.0,8.231,22.04,0.18531741600716486,0.0,0.0,0.9618241040447139,0.019416369621742133,0.3870219432835946
scarcity_capacity,A3_WRENCH_PAIR,100,0.84,0.16,1.0,11.931000000000001,31.18,0.4795727909938432,0.0,0.0,1.0432937892556597,1.4099991322202313e-16,0.37574795081032647
scarcity_capacity,A4_MECHANICS_SAFE,100,0.92,0.08,1.0,10.059,40.76,0.4567319629876874,0.0,0.0,1.0594673123756484,2.1896508263059275e-16,0.2952250053342018
scarcity_capacity,FULL_ROBUST_LOCAL,100,0.92,0.08,1.0,10.059,503.38,0.4600084259966388,0.0,0.0,1.0594673123756484,2.1896508263059275e-16,0.2952250053342018
torque_complementarity,A0_RAW_PREF,100,0.36,0.64,1.0,8.421,6.98,0.2272847309987992,0.0,0.0,0.795554744215464,0.20818191676388104,0.5944732704194228
torque_complementarity,A1_INTEGER_QR,100,0.36,0.64,1.0,8.421,13.96,0.22637731599621475,0.0,0.0,0.795554744215464,0.20818191676388104,0.5944732704194228
torque_complementarity,A2_CAPACITY,100,0.36,0.64,1.0,8.421,27.92,0.22556720699416474,0.0,0.0,0.795554744215464,0.20818191676388104,0.5944732704194228
torque_complementarity,A3_WRENCH_PAIR,100,0.99,0.01,1.0,8.481,49.76,0.49654336598934606,0.01,0.0,1.2235012048242617,8.362852281895871e-17,0.26131328252766645
torque_complementarity,A4_MECHANICS_SAFE,100,1.0,0.0,1.0,8.479000000000001,58.68,0.5344322029850446,0.0,0.0,1.2262586926620045,8.362852281895871e-17,0.2609825099294222
torque_complementarity,FULL_ROBUST_LOCAL,100,1.0,0.0,1.0,8.479000000000001,431.79,0.5331151529960334,0.0,0.0,1.2262586926620045,8.362852281895871e-17,0.2609825099294222
