experiment_id,scenario_generator,scenario_variant_id,seed,method,time_s,robot_id,robot_index,x,y,vx,vy,target_x,target_y
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,direct_to_target,0.0,amr-01,1,-6.4286373217042945,-5.719337954080874,0.7142629573298617,-0.001988174300171987,6.4181942935143494,-5.755097530010022
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,direct_to_target,0.0,amr-02,2,-6.5391230031718095,-3.4682259936775037,0.7342787519289348,0.0016095686420971023,6.4679921646807585,-3.4397138725745533
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,direct_to_target,0.0,amr-03,3,-6.462623239767631,-1.1588451881373736,0.75845185347286,0.0007106834214019603,6.468377172245369,-1.1467286014708893
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,direct_to_target,0.0,amr-04,4,-6.528833232933232,1.1435876315974407,0.7213856471109177,-0.0025676433269512197,6.452912004107226,1.0973814287660408
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,direct_to_target,0.0,amr-05,5,-6.655012817902943,3.5824728522245715,0.7045363948563272,-0.010608401666116964,6.5160174005065254,3.384152964233625
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,direct_to_target,0.0,amr-06,6,-6.498224942838167,5.861291230781915,0.7731546352293354,-0.009363063444324157,6.494737855148565,5.703943748837106
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,direct_to_target,0.36,amr-01,1,-6.171502657065545,-5.720053696828936,0.7142629573298617,-0.0019881743001719963,6.4181942935143494,-5.755097530010022
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,direct_to_target,0.36,amr-02,2,-6.274782652477392,-3.467646548966348,0.7342787519289349,0.001609568642097068,6.4679921646807585,-3.4397138725745533
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,direct_to_target,0.36,amr-03,3,-6.189580572517402,-1.1585893421056686,0.7584518534728601,0.0007106834214019409,6.468377172245369,-1.1467286014708893
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,direct_to_target,0.36,amr-04,4,-6.269134399973301,1.1426632799997385,0.7213856471109177,-0.0025676433269512327,6.452912004107226,1.0973814287660408
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,direct_to_target,0.36,amr-05,5,-6.401379715754666,3.5786538276247697,0.7045363948563272,-0.010608401666116984,6.5160174005065254,3.384152964233625
