scenario,scenario_label,n_worlds,relative_saving_median,relative_saving_ci_low,relative_saving_ci_high,shuffled_order_median,shuffled_order_ci_low,shuffled_order_ci_high,shuffled_order_median_shift,share_above_threshold,share_above_threshold_ci_low,share_above_threshold_ci_high,normalized_p95_cost_median,normalized_p95_cost_q25,normalized_p95_cost_q75,normalized_p95_cost_p05,normalized_p95_cost_p95,feasibility_rate,constraint_violations,sign_p_raw,wilcoxon_sensitivity_p_raw,rank_biserial_vs_5pct,sign_p_holm,wilcoxon_sensitivity_p_holm,saving_over_5pct_supported,wilcoxon_sensitivity_supported,order_control_supported
uniform,Aleatorio,2,0.054201436864627216,0.009962291902283902,0.09844058182697053,0.08658579242571598,0.05273845231331502,0.12043313253811695,0.03238435556108877,0.5,0.09453120573423074,0.9054687942657693,0.36193809812574723,0.33279483430870593,0.39108136194278853,0.3094802232550729,0.41439597299642156,1.0,0,0.75,0.5,0.3333333333333333,1.0,1.0,False,False,True
clustered,Agrupado,2,0.07391123405961206,0.05667068083017436,0.09115178728904975,0.05967809000625803,0.05616902649153871,0.06318715352097735,-0.014233144053354026,1.0,0.34238022750665303,1.0,0.3243706484551771,0.31774809708827634,0.33099319982207787,0.31245005599475567,0.33629124091559853,1.0,0,0.25,0.25,1.0,1.0,1.0,False,False,True
separated,Separado,2,0.017556025297074732,0.01738547964895833,0.017726570945191134,0.019073605146071718,0.015827942840239223,0.02231926745190421,0.0015175798489969854,0.0,0.0,0.6576197724933469,0.5934048533331144,0.5669137362627474,0.6198959704034815,0.5457208426064538,0.6410888640597752,1.0,0,1.0,1.0,-1.0,1.0,1.0,False,False,False
ring,Anillo,2,0.0542200060772743,0.04871371090066094,0.05972630125388766,0.012842486927479736,0.008268380095117716,0.017416593759841757,-0.04137751914979457,0.5,0.09453120573423074,0.9054687942657693,0.305551885335904,0.30253064177281896,0.308573128898989,0.3001136469223509,0.3109901237494571,1.0,0,0.75,0.5,0.3333333333333333,1.0,1.0,False,False,False
corridor,Pasillo,2,0.15468515815634348,0.056037943650727035,0.2533323726619599,0.14594168333400656,0.0,0.2918833666680131,-0.008743474822336922,1.0,0.34238022750665303,1.0,0.19180041920937438,0.18819428378224157,0.1954065546365072,0.1853093754405353,0.19829146297821346,1.0,0,0.25,0.25,1.0,1.0,1.0,False,False,False
