reserve_delta,failure_fraction_nominal,n_worlds,recovery_count,feasible_cost_n,recovery_rate,recovery_ci_low,recovery_ci_high,assignment_churn_median,relative_cost_increase_median,relative_cost_increase_ci_low,relative_cost_increase_ci_high,theory_agreement_rate
0.0,0.0,2,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.1,2,0,0,0.0,0.0,0.6576197724933469,0.045454545454545456,,,,1.0
0.2,0.0,2,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.0,0.0,1.0
0.2,0.1,2,2,2,1.0,0.34238022750665303,1.0,0.0625,0.07250747442169671,0.0,0.14501494884339342,1.0
