capacity_mode,capacity_label,capacity_cv_median,capacity_spread_median,n_false_feasible,certificate_rate,deficit_median_when_false,deficit_ci_low,deficit_ci_high,deficit_p90_when_false,milp_feasible_among_false,milp_certified_among_false
homogeneous,Homogénea,0.0,1.0,0,1.0,,,,,0,0
moderate,Moderada,0.3634407865353664,3.8447860377744485,2,0.0,0.14763914240799766,0.14014847481468956,0.15512981000130577,0.15363167648264414,2,2
extreme,Extrema,0.780375100883757,17.483295276703593,3,0.0,0.3855941465695491,0.2909635961105179,0.5200849733815496,0.4931868080191495,3,3
