capacity_mode,n_pairs,discordant_heterogeneous_only,discordant_homogeneous_only,mcnemar_exact_p_raw,mcnemar_exact_p_holm,supported
moderate,4,2,0,0.25,0.25,False
extreme,4,3,0,0.125,0.25,False
