capacity_mode,capacity_label,scenario,scenario_label,n_worlds,false_feasible_count,capacity_cv_median,false_feasible_rate,false_feasible_ci_low,false_feasible_ci_high,shortfall_kg_median_when_false,milp_certification_rate,milp_certified_count,milp_certification_ci_low,milp_certification_ci_high,milp_repair_rate_among_false,milp_repair_count,milp_repair_certified_count,milp_repair_ci_low,milp_repair_ci_high
homogeneous,Homogénea,uniform,Aleatorio,2,0,0.0,0.0,0.0,0.6576197724933469,0.0,1.0,2,0.34238022750665303,1.0,,0,0,,
moderate,Moderada,uniform,Aleatorio,2,1,0.38597710322779066,0.5,0.09453120573423074,0.9054687942657693,4.66401306483187,1.0,2,0.34238022750665303,1.0,1.0,1,1,0.20654931437723745,1.0
extreme,Extrema,uniform,Aleatorio,2,1,0.6890776873104536,0.5,0.09453120573423074,0.9054687942657693,10.404252321571235,1.0,2,0.34238022750665303,1.0,1.0,1,1,0.20654931437723745,1.0
homogeneous,Homogénea,ring,Anillo,2,0,0.0,0.0,0.0,0.6576197724933469,0.0,1.0,2,0.34238022750665303,1.0,,0,0,,
moderate,Moderada,ring,Anillo,2,1,0.30174264513955984,0.5,0.09453120573423074,0.9054687942657693,1.751653416724439,1.0,2,0.34238022750665303,1.0,1.0,1,1,0.20654931437723745,1.0
extreme,Extrema,ring,Anillo,2,2,1.0082927313980412,1.0,0.34238022750665303,1.0,5.4326033200684165,1.0,2,0.34238022750665303,1.0,1.0,2,2,0.34238022750665303,1.0
