world_key,graph_regime,graph_n_edges,graph_mean_degree,graph_min_degree,graph_diameter,graph_components,graph_lambda_2,graph_connected
E3:uniform:p0.85:cv0.0:r0,medium,71,8.875,2,3,1,1.8942387647471932,True
E3:uniform:p0.85:cv0.0:r1,medium,66,8.25,4,3,1,3.0160955598382606,True
E3:uniform:p0.85:cv0.65:r0,medium,71,8.875,2,3,1,1.8942387647471932,True
E3:uniform:p0.85:cv0.65:r1,medium,66,8.25,4,3,1,3.0160955598382606,True
E3:corridor:p0.85:cv0.0:r0,medium,56,7.0,4,4,1,0.4692510118740873,True
E3:corridor:p0.85:cv0.0:r1,medium,49,6.125,4,5,1,0.5055975211142002,True
E3:corridor:p0.85:cv0.65:r0,medium,56,7.0,4,4,1,0.4692510118740873,True
E3:corridor:p0.85:cv0.65:r1,medium,49,6.125,4,5,1,0.5055975211142002,True
