method,label,worlds,feasible,feasibility_rate,feasibility_low,feasibility_high,common_gap_worlds,common_gap_median,common_gap_low,common_gap_high,bytes_per_agent_median,bytes_per_agent_q25,bytes_per_agent_q75,messages_per_agent_median,rounds_median,runtime_ms_median
capacity_cbba_rb,Capacity-CBBA-RB,1160,916,0.7896551724137931,0.7652650538103857,0.8121331776299422,898,0.41970146810107495,0.3879485227948104,0.4511751555370901,9187.5,7706.734375,10908.703125,57.5,25.0,26.522800006205216
weighted_grape,Weighted-GRAPE,1160,1156,0.996551724137931,0.9911672989922561,0.9986582406197345,898,0.20551208768932125,0.19118220877715952,0.22511919865026278,20607.5625,17340.9375,24265.125,491.09375,225.0,121.5364500094438
weighted_pair_grape,Weighted-Pair-GRAPE,1160,1160,1.0,0.9966993280815185,1.0,898,0.08995089993266214,0.0824866813065368,0.1019942984078782,25481.625,20171.625,31832.0625,607.28125,289.0,293.11225000128616
geo_qpg_u,Geo-QPG-BR,1160,1133,0.9767241379310345,0.9663464399221847,0.9839548159900217,898,0.5704790935618265,0.5395981885720469,0.6266158235166366,662.25,581.25,774.9375,19.625,39.0,7.866999992984347
geo_qpg_p,Geo-QPG-2BR,1160,1159,0.9991379310344828,0.9951330735166485,0.9998478074474882,898,0.1444900099411956,0.1317404668500202,0.1578651753392593,3323.625,2766.4375,3987.0625,70.46875,281.0,142.58549999794923
geo_qpg_cf,Geo-QPG-CF (global),1160,1160,1.0,0.9966993280815185,1.0,898,0.11174340543591894,0.10068595547462665,0.12079360782298276,4080.0,3182.5625,5209.1875,79.15625,16.0,185.15920000209007
