hypothesis,metric,method_a,method_b,direction,independent_blocks,scenarios_per_block,paired_instances,mean_original_difference,median_oriented_block_difference,positive_blocks,negative_blocks,tied_blocks,p_raw,p_holm,supported_at_0_05
H4_1_replicator_safe_success_above_cbf,safe_docking_success,replicator_primitives,cbf_qp,greater,18,6,108,0.0925925925925926,0.0,7,1,10,0.03515625,0.03515625,True
H4_2_replicator_collision_below_direct,any_collision,replicator_primitives,direct_to_slot,less,18,6,108,-0.8333333333333335,0.8333333333333334,18,0,0,3.814697265625e-06,1.9073486328125e-05,True
H4_3_exact_kkt_below_ring,final_kkt_residual,nash_pd_exact,nash_pd_ring,less,18,6,108,-0.33514654973933844,0.43804110533031004,17,1,0,7.2479248046875e-05,0.00014495849609375,True
H4_4_replicator_safe_success_above_nash_pd,safe_docking_success,replicator_primitives,nash_pd_exact,greater,18,6,108,0.24074074074074078,0.16666666666666666,18,0,0,3.814697265625e-06,1.9073486328125e-05,True
H4_5_replicator_position_error_below_central,final_position_error_m,replicator_primitives,central_potential_reference,less,18,6,108,-1.043554892574178,0.9939681628673698,18,0,0,3.814697265625e-06,1.9073486328125e-05,True
