scalar_feasible_rate,wrench_feasible_rate,false_positive_rate,false_positive_given_scalar_rate,assigned_loads,feasible_assigned_loads,infeasible_assigned_loads,feasible_available_loads,relative_feasibility,feasible_coverage,precision_given_assigned,fp_given_assigned,wrench_residual_norm,max_wrench_residual_norm,wrench_residual_feasible_available,max_wrench_residual_feasible_available,wrench_margin,torque_error_nm,force_error_n,slot_coverage_ratio,complementarity_gain,scalar_wrench_success_gap,slot_conflict_count,assignment_valid,travel_distance_m,mean_assigned_travel_distance_m,max_assigned_travel_distance_m,estimated_arrival_time_s,energy_proxy_wh,communication_messages,runtime_ms,score_value,oracle_score_value,signed_score_delta_vs_oracle,oracle_dominance_violation,optimality_gap_vs_wrench_oracle,captured_reward,oracle_reward,assigned_robots,idle_robots,world_id,seed,scenario,method,strict_score,runtime_s,raw_fp_given_assigned,raw_wrench_feasible_rate,raw_closed_distinct,iterations,messages,simplex_error,slot_violation,kkt_residual,complementarity_residual,consensus_error,potential_initial,potential_final,potential_gain,converged,qp_potential,qp_potential_gap,qp_success
1.0,1.0,0.0,0.0,1,1,0,1,1.0,1.0,1.0,0.0,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,0.04999999999999977,0.0,1.4210854715202004e-14,1.0,0.19095843205133237,0.0,0,True,1.0595915963446865,0.5297957981723432,0.5855245983416038,0.7647307214372728,6.9331805492867105,8,11.126999976113439,39.73381831056922,39.73381831056922,0.0,False,0.0,2.0,2.0,2,2,point_load_degenerate_seed460000,460000,point_load_degenerate,wrench_oracle,39.73381831056922,0.011126999976113439,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,,,
1.0,1.0,0.0,0.0,1,1,0,1,1.0,1.0,1.0,0.0,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,0.04999999999999977,0.0,1.4210854715202004e-14,1.0,0.19095843205133237,0.0,0,True,1.0595915963446865,0.5297957981723432,0.5855245983416038,0.7647307214372728,6.9331805492867105,8,0.6011000368744135,39.73381831056922,39.73381831056922,0.0,False,0.0,2.0,2.0,2,2,point_load_degenerate_seed460000,460000,point_load_degenerate,oracle_scalar_assignment,39.73381831056922,0.0006011000368744135,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,,,
1.0,1.0,0.0,0.0,1,1,0,1,1.0,1.0,1.0,0.0,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,0.04999999999999977,0.0,1.4210854715202004e-14,1.0,0.1664173315650353,0.0,0,True,6.87798025936687,3.438990129683435,6.403913261363788,9.01719626256885,33.61732884834273,8,7.846300024539232,39.65065557246343,39.73381831056922,-0.08316273810579133,False,0.0020929963854913487,2.0,2.0,2,2,point_load_degenerate_seed460000,460000,point_load_degenerate,cbba_slots,39.65065557246343,0.007846300024539232,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,,,
1.0,1.0,0.0,0.0,1,1,0,1,1.0,1.0,1.0,0.0,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,0.04999999999999977,0.0,1.4210854715202004e-14,1.0,0.1664173315650353,0.0,0,True,6.87798025936687,3.438990129683435,6.403913261363788,9.01719626256885,33.61732884834273,8,10.300200199708343,39.65065557246343,39.73381831056922,-0.08316273810579133,False,0.0020929963854913487,2.0,2.0,2,2,point_load_degenerate_seed460000,460000,point_load_degenerate,wrench_greedy,39.65065557246343,0.010300200199708343,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,,,
1.0,1.0,0.0,0.0,1,1,0,1,1.0,1.0,1.0,0.0,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,0.04999999999999977,0.0,1.4210854715202004e-14,1.0,0.19095843205133237,0.0,0,True,1.0595915963446865,0.5297957981723432,0.5855245983416038,0.7647307214372728,6.9331805492867105,8,9.308600099757314,39.73381831056922,39.73381831056922,0.0,False,0.0,2.0,2.0,2,2,point_load_degenerate_seed460000,460000,point_load_degenerate,smith_wrench_pairs_guarded,39.73381831056922,0.009308600099757314,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,,,
1.0,1.0,0.0,0.0,1,1,0,1,1.0,1.0,1.0,0.0,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,0.04999999999999977,0.0,1.4210854715202004e-14,1.0,0.1664173315650353,0.0,0,True,9.520235109562526,4.760117554781263,6.403913261363788,9.01719626256885,45.85771065414464,8,1.1402999516576529,39.61282832335818,39.73381831056922,-0.12098998721103982,False,0.003045012846873979,2.0,2.0,2,2,point_load_degenerate_seed460000,460000,point_load_degenerate,uniform_guarded,39.61282832335818,0.0011402999516576529,0.0,0.0,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,,,
1.0,1.0,0.0,0.0,1,1,0,1,1.0,1.0,1.0,0.0,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,0.04999999999999977,0.0,1.4210854715202004e-14,1.0,0.19095843205133237,0.0,0,True,1.0595915963446865,0.5297957981723432,0.5855245983416038,0.7647307214372728,6.9331805492867105,8,139.53189994208515,39.73381831056922,39.73381831056922,0.0,False,0.0,2.0,2.0,2,2,point_load_degenerate_seed460000,460000,point_load_degenerate,nash_pd_exact_unguarded,39.73381831056922,0.13953189994208515,0.0,0.0,True,500,0,0.0,0.0,0.005659727511327582,0.0,0.0,-0.6317874166454006,-0.013643289043426737,0.6181441276019739,True,-0.013571288674518782,7.200036890795541e-05,True
1.0,1.0,0.0,0.0,1,1,0,1,1.0,1.0,1.0,0.0,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,0.04999999999999977,0.0,1.4210854715202004e-14,1.0,0.19095843205133237,0.0,0,True,1.0595915963446865,0.5297957981723432,0.5855245983416038,0.7647307214372728,6.9331805492867105,8,131.97689992375672,39.73381831056922,39.73381831056922,0.0,False,0.0,2.0,2.0,2,2,point_load_degenerate_seed460000,460000,point_load_degenerate,nash_pd_exact_guarded,39.73381831056922,0.13197689992375672,0.0,0.0,True,500,0,0.0,0.0,0.005659727511327582,0.0,0.0,-0.6317874166454006,-0.013643289043426737,0.6181441276019739,True,-0.013571288674518782,7.200036890795541e-05,True
1.0,1.0,0.0,0.0,1,1,0,1,1.0,1.0,1.0,0.0,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,0.04999999999999977,0.0,1.4210854715202004e-14,1.0,0.19095843205133237,0.0,0,True,1.0595915963446865,0.5297957981723432,0.5855245983416038,0.7647307214372728,6.9331805492867105,8,178.40819992125034,39.73381831056922,39.73381831056922,0.0,False,0.0,2.0,2.0,2,2,point_load_degenerate_seed460000,460000,point_load_degenerate,nash_pd_ring_guarded,39.73381831056922,0.17840819992125034,0.0,0.0,True,500,80000,0.0,0.0,0.012201945088593985,0.0,0.01445802969511893,-0.6317874166454006,-0.015388577689183235,0.6163988389562174,True,-0.013571288674518782,0.0018172890146644534,True
1.0,1.0,0.0,0.0,1,1,0,1,1.0,1.0,1.0,0.0,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,2.3684757858670006e-16,0.04999999999999977,0.0,1.4210854715202004e-14,1.0,0.19095843205133237,0.0,0,True,1.0595915963446865,0.5297957981723432,0.5855245983416038,0.7647307214372728,6.9331805492867105,8,186.46709993481636,39.73381831056922,39.73381831056922,0.0,False,0.0,2.0,2.0,2,2,point_load_degenerate_seed460000,460000,point_load_degenerate,smith_price_guarded,39.73381831056922,0.18646709993481636,0.0,0.0,True,500,0,2.220446049250313e-16,0.0,0.04898295199539985,0.0,0.0,-0.6317874166454006,-0.02007384646103963,0.611713570184361,False,-0.013571288674518782,0.0065025577865208475,True
