method,n,wrench_feasible_rate_mean,wrench_feasible_rate_std,feasible_coverage_mean,feasible_coverage_std,precision_given_assigned_mean,precision_given_assigned_std,fp_given_assigned_mean,fp_given_assigned_std,optimality_gap_vs_wrench_oracle_mean,optimality_gap_vs_wrench_oracle_std,wrench_residual_feasible_available_mean,wrench_residual_feasible_available_std,runtime_s_mean,runtime_s_std,messages_mean,messages_std,kkt_residual_mean,kkt_residual_std,consensus_error_mean,consensus_error_std
wrench_oracle,600,0.5,0.5004171882244361,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.83860425360158e-17,9.468166075663302e-17,0.12019120316525611,0.1230324833768075,nan,nan,nan,nan,nan,nan
erv_bnn_price_guarded,600,0.5,0.5004171882244361,1.0,0.0,1.0,0.0,0.0,0.0,2.7253324765981917e-06,2.4628850210834995e-05,7.829950490716215e-17,9.443612419664727e-17,0.19021373149667245,0.047932010344003274,0.0,0.0,0.05816044191889439,0.021132378323444563,0.0,0.0
replicator_price_guarded,600,0.5,0.5004171882244361,1.0,0.0,1.0,0.0,0.0,0.0,3.233573199751519e-06,1.5648388119615053e-05,7.828128161382593e-17,9.460236360475899e-17,0.15896817166474647,0.06530301975363859,0.0,0.0,0.0418999882718285,0.03032221989448992,0.0,0.0
smith_price_guarded,600,0.5,0.5004171882244361,1.0,0.0,1.0,0.0,0.0,0.0,3.7502257838905863e-06,2.1843490737035424e-05,7.829950490716215e-17,9.443612419664727e-17,0.238322149994007,0.11946951621871699,0.0,0.0,0.03064184407033044,0.016128512359039688,0.0,0.0
smith_wrench_pairs_guarded,600,0.5,0.5004171882244361,1.0,0.0,1.0,0.0,0.0,0.0,1.1013459349781576e-05,6.694175624438972e-05,7.74067476496346e-17,9.42948902268935e-17,0.14469106166856363,0.10905597083742154,nan,nan,nan,nan,nan,nan
nash_pd_exact_guarded,600,0.5,0.5004171882244361,1.0,0.0,1.0,0.0,0.0,0.0,2.8670558832700348e-05,0.0006250807567952815,7.793587889505367e-17,9.41833080098633e-17,0.14184691783273592,0.07475445139692254,0.0,0.0,0.007941499443013846,0.007381192728965446,0.0,0.0
nash_pd_ring_guarded,600,0.5,0.5004171882244361,1.0,0.0,1.0,0.0,0.0,0.0,0.00012020281880263442,0.0003259754648726452,7.450988841499085e-17,9.16221352539757e-17,0.19892265800735914,0.10279455986101543,130489.33333333333,107888.63290792095,0.023500520230730716,0.02560789335928644,0.09562706243676682,0.12883383598908152
uniform_guarded,600,0.5,0.5004171882244361,1.0,0.0,1.0,0.0,0.0,0.0,0.0014728288776999629,0.0017401420320239096,7.955663597344051e-17,9.537715013658412e-17,0.06150202117433461,0.06405915415715746,nan,nan,nan,nan,nan,nan
nash_pd_exact_unguarded,600,0.5,0.5004171882244361,1.0,0.0,0.6666666666666666,0.47179784962107174,0.3333333333333333,0.47179784962107174,0.05216000266091193,0.0830361605209508,7.793587889505367e-17,9.41833080098633e-17,0.14240738700105188,0.07537658913964718,0.0,0.0,0.007941499443013846,0.007381192728965446,0.0,0.0
oracle_scalar_assignment,600,0.5,0.5004171882244361,1.0,0.0,0.5,0.5004171882244361,0.5,0.5004171882244361,0.09319516055661856,0.10529985488223818,7.83860425360158e-17,9.468166075663302e-17,0.0197919006657321,0.038102869821708026,nan,nan,nan,nan,nan,nan
cbba_slots,600,0.5,0.5004171882244361,1.0,0.0,0.5,0.5004171882244361,0.5,0.5004171882244361,0.0933571292823077,0.10347944740409976,7.937440304007836e-17,9.70128148226862e-17,0.02426144900227276,0.026812672410832177,nan,nan,nan,nan,nan,nan
wrench_greedy,600,0.5,0.5004171882244361,1.0,0.0,0.5,0.5004171882244361,0.5,0.5004171882244361,0.09338533579163977,0.10346437931529594,7.92696421178885e-17,9.693649459632907e-17,0.02418540050314429,0.026709458816047502,nan,nan,nan,nan,nan,nan
