regime,n_coalitions,n_robots,method,n,conflict_free_mean,conflict_free_median,conflict_free_std,global_conflict_pairs_mean,global_conflict_pairs_median,global_conflict_pairs_std,missed_conflict_pairs_mean,missed_conflict_pairs_median,missed_conflict_pairs_std,coordinated_fraction_mean,coordinated_fraction_median,coordinated_fraction_std,logical_throughput_per_sweep_mean,logical_throughput_per_sweep_median,logical_throughput_per_sweep_std,gap_vs_certified_oracle_mean,gap_vs_certified_oracle_median,gap_vs_certified_oracle_std,messages_per_agent_mean,messages_per_agent_median,messages_per_agent_std,bytes_per_agent_mean,bytes_per_agent_median,bytes_per_agent_std,runtime_ms_mean,runtime_ms_median,runtime_ms_std,runtime_ms_per_agent_mean,runtime_ms_per_agent_median,runtime_ms_per_agent_std,state_bytes_per_agent_mean,state_bytes_per_agent_median,state_bytes_per_agent_std,mean_version_lag_mean,mean_version_lag_median,mean_version_lag_std,max_version_lag_mean,max_version_lag_median,max_version_lag_std,missing_view_fraction_mean,missing_view_fraction_median,missing_view_fraction_std
harsh_combined,4,8,perfect_information_response,30,0.9666666666666667,1.0,0.18257418583505533,0.03333333333333333,0.0,0.18257418583505533,0.03333333333333333,0.0,0.18257418583505533,0.9833333333333333,1.0,0.09128709291752765,2.322222222222222,2.0,0.8861788189220065,0.1419421086497536,0.0,0.35221656000440976,0.0,0.0,0.0,0.0,0.0,0.0,0.370010002128159,0.33194999559782445,0.1485963378876126,0.09250250053203975,0.08298749889945611,0.03714908447190315,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harsh_combined,4,8,periodic_versioned_local,30,0.4666666666666667,0.0,0.5074162634049248,0.6,1.0,0.6214554662658653,0.6,1.0,0.6214554662658653,0.7,0.5,0.3107277331329326,0.14,0.1,0.06214554662658655,1.0930888584716312,1.0086791375096036,1.3896096559880486,11.2,10.5,9.525464962857228,358.4,336.0,304.8148788114313,0.827463333068105,0.7560999947600067,0.3522940647229967,0.20686583326702626,0.18902499869000167,0.08807351618074917,12.266666666666667,12.0,3.6287485572789446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harsh_combined,4,8,random_static,30,0.3333333333333333,0.0,0.47946330148538413,0.6666666666666666,1.0,0.47946330148538413,0.5666666666666667,1.0,0.5040069329937308,0.6666666666666666,0.5,0.23973165074269207,2.6666666666666665,2.0,0.9589266029707683,1.3741655139742062,1.3701075003356245,1.3180003121084911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harsh_combined,8,16,central_exhaustive_oracle,30,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.32674333654965,7.298850003280677,0.9656956169330202,0.9158429170687062,0.9123562504100846,0.12071195211662752,256.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harsh_combined,8,16,event_driven_local,30,0.13333333333333333,0.0,0.34574590364176044,1.3666666666666667,1.0,0.8087168778415268,1.2333333333333334,1.0,0.7279320417946062,0.6583333333333333,0.75,0.2021792194603817,0.26333333333333336,0.3,0.08087168778415268,0.9800314388135084,0.9671198899737008,0.5869358954472373,2.5541666666666667,2.125,1.3385382424259613,81.73333333333333,68.0,42.83322375763076,1.1965466653540109,1.0956999904010445,0.3945455182251536,0.14956833316925136,0.13696249880013056,0.0493181897781442,21.266666666666666,20.0,6.225272924820706,0.3675106837606838,0.3516483516483516,0.19137003814592377,1.3333333333333333,1.0,0.5466722735905339,0.18151048026048025,0.16666666666666666,0.10956177629611863
harsh_combined,8,16,perfect_information_response,30,0.8333333333333334,1.0,0.3790490217894517,0.16666666666666666,0.0,0.3790490217894517,0.06666666666666667,0.0,0.2537081317024625,0.9583333333333334,1.0,0.09476225544736293,3.45,4.0,0.7843659127329995,0.19317722466197723,0.048209213956418154,0.253303855860586,0.0,0.0,0.0,0.0,0.0,0.0,0.9402033310228338,0.8725499792490155,0.2239814629238203,0.11752541637785423,0.10906874740612693,0.027997682865477536,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harsh_combined,8,16,periodic_versioned_local,30,0.16666666666666666,0.0,0.3790490217894517,1.1333333333333333,1.0,0.6814453874610599,1.1333333333333333,1.0,0.6814453874610599,0.7166666666666667,0.75,0.17036134686526497,0.28666666666666657,0.3,0.06814453874610597,0.7974123381569054,0.7697898875785232,0.5020562452533608,34.825,31.5,16.341341427654353,1114.4,1008.0,522.9229256849393,2.0621466644418738,1.980899993213825,0.5022781188356448,0.2577683330552342,0.24761249915172812,0.0627847648544556,21.266666666666666,20.0,6.225272924820706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harsh_combined,8,16,random_static,30,0.0,0.0,0.0,1.9,2.0,0.8030115728972382,1.3333333333333333,1.0,0.6064784348631227,0.525,0.5,0.20075289322430956,4.2,4.0,1.6060231457944765,1.5680564155639127,1.5806184268732473,0.5712620158504618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harsh_combined,12,24,central_exhaustive_oracle,30,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.03515625,0.03515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.42034333385527,168.10280000208877,3.605271055869418,14.035028611154608,14.008566666840732,0.30043925465578475,2730.6666666666674,2730.6666666666665,9.250427460130737e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harsh_combined,12,24,event_driven_local,30,0.03333333333333333,0.0,0.18257418583505533,2.3,2.5,0.9153857298880941,2.2,2.0,0.8469010445797931,0.6166666666666668,0.5833333333333334,0.15256428831468233,0.3700000000000001,0.35,0.0915385729888094,1.1204182663237254,1.1309390354605728,0.4741032230277498,3.9416666666666673,3.625,1.3079754617075654,126.13333333333335,116.0,41.85521477464209,1.7895133350975811,1.6459000034956262,0.45979027033504294,0.14912611125813174,0.1371583336246355,0.03831585586125358,28.933333333333337,28.0,5.701649959488604,0.4027542378500056,0.40454545454545454,0.12066238812422272,1.8666666666666667,2.0,0.34574590364176044,0.225807947801066,0.2178030303030303,0.09857395614200368
harsh_combined,12,24,perfect_information_response,30,0.5666666666666667,1.0,0.5040069329937309,0.4666666666666667,0.0,0.571346463723366,0.3,0.0,0.466091599699399,0.9222222222222223,1.0,0.09522441062056095,4.58,4.5,1.2816297096445906,0.24474234312592713,0.14885584341886726,0.25228778819684833,0.0,0.0,0.0,0.0,0.0,0.0,1.6382599986779194,1.5903000021353364,0.4243846234289731,0.13652166655649325,0.1325250001779447,0.03536538528574776,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
