world_hash,instance_hash,regime,n_coalitions,n_robots,seed,communication_edges,mean_degree,max_degree,components,connected,algebraic_connectivity,profile_space,oracle_certified,exact_identity_exhaustively_checked,exact_network_potential_verified,strict_potential_monotonicity,better_response_visible_nash,strict_moves,finite_move_bound,catalogue_has_conflict_free_profile,single_message_failure_probability,failure_after_five_retransmissions
00c0193c9ef99b623d50d81b7372acc59bc8c02d082dfa0957c8b05fd0aa6475,d93cd69117b31332bb76da2bb2eefae07297df3dd165bcf56b17fef3b0a27f84,independent_loss,4,8,8803,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.25,0.0009765625
88a3aa04745bb7042fe51cd0df23b5a27df39717ac92a43c650440a53ffddfaf,d93cd69117b31332bb76da2bb2eefae07297df3dd165bcf56b17fef3b0a27f84,harsh_combined,4,8,8803,3,1.5,2,2,False,0.0,16,True,True,True,True,True,3,15,True,0.35,0.005252187499999998
d5c37baf3cc84358e6fad2a6268a554e63fcecbfd7e03633b7664c7e167a46c2,5d9f8f092fed79f9ebbbbf830e01476f129df6affd77f2dc6f32a60716335c35,nominal,4,8,8804,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,3,15,True,0.0,0.0
b5af974e0d630f7acebba4daee0f6dae6131317f691287fdb2bc6c7c66244f8d,5d9f8f092fed79f9ebbbbf830e01476f129df6affd77f2dc6f32a60716335c35,sparse_radio,4,8,8804,3,1.5,2,1,True,0.5857864376269047,16,True,True,True,True,True,3,15,True,0.0,0.0
c853d2d2bbabe5c2365e8ee9cf2248b18a59ac369f618ae1a59ad95c704d3a5d,5d9f8f092fed79f9ebbbbf830e01476f129df6affd77f2dc6f32a60716335c35,bounded_delay,4,8,8804,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,3,15,True,0.0,0.0
a74fa53ed925f47733ed8e71c029a3a30bc6691283e5403f6451c54b19d129a2,5d9f8f092fed79f9ebbbbf830e01476f129df6affd77f2dc6f32a60716335c35,independent_loss,4,8,8804,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,3,15,True,0.25,0.0009765625
14ef4b23bfd51d59541de4f5d7664169209a673b6935e9ccb82dcaebdb7b2eb2,5d9f8f092fed79f9ebbbbf830e01476f129df6affd77f2dc6f32a60716335c35,harsh_combined,4,8,8804,3,1.5,2,1,True,0.5857864376269047,16,True,True,True,True,True,3,15,True,0.35,0.005252187499999998
e0da1980089638e1e359542e45c1c61d98655be6bc97c0deed9e9bf9598485da,05d45a4e1a5e516b34d14ffb6b9f7a713811319a9eb688bd4eef11560c0a0783,nominal,4,8,8805,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.0,0.0
6d450274a336ce6b4df0c710158cf0d43a08b3dd691850ee87d0c77deb6de7e4,05d45a4e1a5e516b34d14ffb6b9f7a713811319a9eb688bd4eef11560c0a0783,sparse_radio,4,8,8805,1,0.5,1,3,False,0.0,16,True,True,True,True,True,1,15,True,0.0,0.0
58925f3ffc44333289b515464ac550955559a5f248e91cabcde33e23f6c7f997,05d45a4e1a5e516b34d14ffb6b9f7a713811319a9eb688bd4eef11560c0a0783,bounded_delay,4,8,8805,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.0,0.0
