method,method_label,n,safe_transport_success,safe_transport_success_ci95_low,safe_transport_success_ci95_high,target_reached,target_reached_ci95_low,target_reached_ci95_high,any_collision,any_collision_ci95_low,any_collision_ci95_high,timeout,timeout_ci95_low,timeout_ci95_high,time_to_target_s,time_to_target_s_ci95_low,time_to_target_s_ci95_high,final_position_error_m,final_position_error_m_ci95_low,final_position_error_m_ci95_high,min_clearance_m,min_clearance_m_ci95_low,min_clearance_m_ci95_high,exec_barrier_violation_rate,exec_barrier_violation_rate_ci95_low,exec_barrier_violation_rate_ci95_high,guard_intervention_norm,guard_intervention_norm_ci95_low,guard_intervention_norm_ci95_high,wrench_realization_rmse,wrench_realization_rmse_ci95_low,wrench_realization_rmse_ci95_high,saturation_fraction,saturation_fraction_ci95_low,saturation_fraction_ci95_high,positive_hamiltonian_delta_rate,positive_hamiltonian_delta_rate_ci95_low,positive_hamiltonian_delta_rate_ci95_high,mechanical_work_j,mechanical_work_j_ci95_low,mechanical_work_j_ci95_high,messages,messages_ci95_low,messages_ci95_high,runtime_wall_s,runtime_wall_s_ci95_low,runtime_wall_s_ci95_high
pose_pd_raw,Pose PD (RAW),108,0.25925925925925924,0.17592592592592593,0.35185185185185186,0.25925925925925924,0.18518518518518517,0.35185185185185186,0.7407407407407407,0.6574074074074074,0.8240740740740741,0.0,0.0,0.0,40.52222222222222,39.03055555555555,41.952777777777776,3.970905182875902,3.1609068997814194,4.842522002122482,0.10721810095195407,0.036274806640937005,0.19161061100132376,0.2636514102138382,0.22933248801790843,0.29879994381952873,0.0,0.0,0.0,1.0209456686188402e-15,9.462976991127757e-16,1.099460708160486e-15,0.0,0.0,0.0,0.0,0.0,0.0,190.53581272913277,184.63760072360353,196.739671377163,0.0,0.0,0.0,0.13034054353462393,0.11497692993359157,0.1471455074610141
apf_wrench_heuristic,APF wrench heuristic,108,0.3333333333333333,0.24074074074074073,0.42592592592592593,0.3333333333333333,0.25,0.4168981481481469,0.3333333333333333,0.24074074074074073,0.4166666666666667,0.3333333333333333,0.25,0.42592592592592593,41.0,39.800000000000004,42.15555555555556,6.604296670605301,5.721401084215995,7.4530447456076425,0.4063479800497443,0.3199135515545726,0.49610463839374375,0.06254999094715255,0.05098749825382081,0.07505645205797198,0.0,0.0,0.0,9.829963613383081e-16,8.960552602451928e-16,1.0703737054735897e-15,0.0,0.0,0.0,0.14187830687830688,0.1076031746031746,0.1791783142269253,172.88715800101104,164.86200011291706,181.05025127512408,0.0,0.0,0.0,0.2164137222226364,0.1847923694675922,0.24926644074514992
velocity_obstacle_proxy,Velocity-obstacle proxy,108,0.6574074074074074,0.5648148148148148,0.75,0.6574074074074074,0.5648148148148148,0.7409722222222209,0.3425925925925926,0.25925925925925924,0.4351851851851852,0.0,0.0,0.0,33.57222222222222,31.95552083333333,35.2778125,3.712844054152385,2.8281958541383956,4.6275026869269595,0.3465557651710027,0.26379834794290685,0.4270894083060763,0.11702027925703967,0.10411093817307969,0.12911370941837988,0.0,0.0,0.0,8.440594368043756,1.424819399833641,17.4331408180591,0.0005209592568822111,0.00021257642514998108,0.0009454647741339013,0.008948072785454928,0.007055458868406909,0.010768443335633981,208.798570857655,197.65404821025768,219.80241038364883,0.0,0.0,0.0,0.14914927777782497,0.13048675269070642,0.1692553420740296
cbf_wrench_local,Local CBF wrench filter,108,0.5925925925925926,0.5092592592592593,0.6851851851851852,0.5925925925925926,0.49976851851851856,0.6851851851851852,0.0,0.0,0.0,0.4074074074074074,0.3148148148148148,0.5,38.94444444444444,37.63052083333333,40.20006944444444,2.9649440521188324,2.228534373545326,3.707369866810005,0.2655907570280669,0.19979833861780166,0.3439943102845923,0.06373456790123457,0.03441049382716049,0.09839506172839506,3366.236109671208,2870.6359862832605,3899.653926540225,7.751054312052147e-16,7.433813967028918e-16,8.066966842795141e-16,0.0,0.0,0.0,0.054175677887942184,0.043008844679686256,0.0656788733519005,199.4131841596732,195.01181758433563,204.14067437953128,4154.074074074074,3817.101851851852,4497.587037037037,0.28643224536898304,0.2617394346426375,0.31318613268856466
damped_hamiltonian_raw,Damped Hamiltonian (RAW),108,0.16666666666666666,0.10185185185185185,0.24074074074074073,0.16666666666666666,0.10185185185185185,0.2317129629629617,0.8333333333333334,0.7592592592592593,0.8981481481481481,0.0,0.0,0.0,42.92916666666666,42.00833333333334,43.734722222222224,4.366266397748088,3.538376685309165,5.205017583816411,0.10014806379655489,0.026581721363381758,0.18552609681873658,0.25508899360918363,0.2191602357705721,0.29151341612750503,0.0,0.0,0.0,1.0117982234797433e-15,9.400624500917245e-16,1.087886324067929e-15,0.0,0.0,0.0,0.0,0.0,0.0,177.31095739767903,171.41588253745581,183.00017784915116,0.0,0.0,0.0,0.12294346389265869,0.10948309849579042,0.1372435672123511
damped_hamiltonian_cbf,Damped Hamiltonian + CBF,108,0.42592592592592593,0.3425925925925926,0.5185185185185185,0.42592592592592593,0.3333333333333333,0.5187499999999987,0.0,0.0,0.0,0.5740740740740741,0.4722222222222222,0.6666666666666666,40.73472222222222,39.65829861111111,41.81392361111111,3.016715976488148,2.3036537789414924,3.74451573846789,0.25771873800155654,0.19278791319558872,0.33162112628123747,0.06805533028282343,0.040804747797473916,0.1023355030524016,3592.9665520285594,3030.586391591616,4134.153968542012,7.202784158375193e-16,6.917347706764134e-16,7.4828622824926035e-16,0.0,0.0,0.0,0.05493774430480158,0.04378302468961945,0.06616732710517916,188.0154413129822,183.61557118590247,192.41380911358513,4345.037037037037,3993.7537037037036,4704.303703703704,0.2966709287052422,0.27305954453692755,0.3210944889611306
distributed_preview_cbf,Distributed preview-CBF,108,0.39814814814814814,0.3055555555555556,0.4817129629629617,0.39814814814814814,0.3055555555555556,0.49074074074074076,0.0,0.0,0.0,0.6018518518518519,0.5092592592592593,0.6944444444444444,40.65833333333334,39.468020833333334,41.787534722222226,3.077699627686025,2.3626986627403683,3.7656159635593083,0.30497848109421577,0.23303688398239114,0.38436941939715025,0.06548963651662626,0.03568837600226964,0.09549220682847186,3456.2836126380535,2946.6221076014413,3984.808197876347,7.870428220231924e-16,7.539096555971371e-16,8.204238050326697e-16,0.0,0.0,0.0,0.05671762026269257,0.04514257573163884,0.06861869686467043,184.74586625889583,179.97675649431108,189.42537788240807,4336.888888888889,3976.618518518518,4707.416666666667,0.2979573213055523,0.2734041023567207,0.3219026184511474
centralized_preview_reference,Centralized preview reference,108,0.16666666666666666,0.09259259259259259,0.24074074074074073,0.16666666666666666,0.10185185185185185,0.24074074074074073,0.0,0.0,0.0,0.8333333333333334,0.7592592592592593,0.8981481481481481,43.37916666666667,42.661111111111104,44.01111111111112,4.009133857284126,3.352209548933439,4.6409408096689395,0.26451312468582916,0.2003996623564276,0.338697968888532,0.06617283950617284,0.036941358024691354,0.09917361111111109,4369.609611555491,3862.3992131022355,4834.263753536241,8.025377962405325e-16,7.506866189250793e-16,8.557967329701665e-16,0.0,0.0,0.0,0.1275925925925926,0.09956712962962964,0.15787345679012346,206.3518047924576,191.87669130212853,220.94034158910466,19279.62962962963,16495.76203703704,22025.61759259259,0.3345297814790953,0.30941341557298546,0.3601713326518721
