scenario,seed,n_robots,world_hash,method,stage,barrier_violation_rate,max_barrier_residual,is_executed_trajectory
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,pose_pd_raw,RAW,0.0,0.0,0
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,pose_pd_raw,SAFE,0.0,0.0,0
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,pose_pd_raw,EXEC,0.0,0.0,1
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,apf_wrench_heuristic,RAW,0.0,0.0,0
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,apf_wrench_heuristic,SAFE,0.0,0.0,0
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,apf_wrench_heuristic,EXEC,0.0,0.0,1
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,velocity_obstacle_proxy,RAW,0.0,0.0,0
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,velocity_obstacle_proxy,SAFE,0.0,0.0,0
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,velocity_obstacle_proxy,EXEC,0.0,0.0,1
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,cbf_wrench_local,RAW,0.0,0.0,0
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,cbf_wrench_local,SAFE,0.0,0.0,0
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,cbf_wrench_local,EXEC,0.0,0.0,1
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,damped_hamiltonian_raw,RAW,0.0,0.0,0
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,damped_hamiltonian_raw,SAFE,0.0,0.0,0
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,damped_hamiltonian_raw,EXEC,0.0,0.0,1
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,damped_hamiltonian_cbf,RAW,0.0,0.0,0
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,damped_hamiltonian_cbf,SAFE,0.0,0.0,0
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,damped_hamiltonian_cbf,EXEC,0.0,0.0,1
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,distributed_preview_cbf,RAW,0.0,0.0,0
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,distributed_preview_cbf,SAFE,0.0,0.0,0
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,distributed_preview_cbf,EXEC,0.0,0.0,1
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,centralized_preview_reference,RAW,0.0,0.0,0
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,centralized_preview_reference,SAFE,0.0,0.0,0
open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,centralized_preview_reference,EXEC,0.0,0.0,1
open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,pose_pd_raw,RAW,0.0,0.0,0
open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,pose_pd_raw,SAFE,0.0,0.0,0
open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,pose_pd_raw,EXEC,0.0,0.0,1
open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,apf_wrench_heuristic,RAW,0.0,0.0,0
open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,apf_wrench_heuristic,SAFE,0.0,0.0,0
open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,apf_wrench_heuristic,EXEC,0.0,0.0,1
open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,velocity_obstacle_proxy,RAW,0.0,0.0,0
open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,velocity_obstacle_proxy,SAFE,0.0,0.0,0
open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,velocity_obstacle_proxy,EXEC,0.0,0.0,1
open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,cbf_wrench_local,RAW,0.0,0.0,0
open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,cbf_wrench_local,SAFE,0.0,0.0,0
open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,cbf_wrench_local,EXEC,0.0,0.0,1
