method,method_label,scenario,seed,n_robots,world_hash,target_reached,safe_transport_success,any_collision,timeout,numerical_failure,termination_reason,time_to_target_s,final_position_error_m,final_orientation_error_rad,min_clearance_m,raw_barrier_violation_rate,safe_barrier_violation_rate,exec_barrier_violation_rate,guard_intervention_norm,wrench_realization_rmse,saturation_fraction,positive_hamiltonian_delta_rate,mechanical_work_j,force_effort_n2s,messages,runtime_wall_s,steps,max_mechanics_residual,positions_repaired_after_integration
pose_pd_raw,Pose PD (RAW),open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,1,1,0,0,0,target_reached,28.2,0.2671630296118707,0.0005036848439412545,1.659206165891018,0.0,0.0,0.0,0.0,4.685454763757121e-16,0.0,0.0,212.54441882745175,1433.8274751813913,0,0.07767369999783114,188,4.80130063657974e-14,0
apf_wrench_heuristic,APF wrench heuristic,open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,1,1,0,0,0,target_reached,28.2,0.2671630296118707,0.0005036848439412545,1.659206165891018,0.0,0.0,0.0,0.0,4.685454763757121e-16,0.0,0.0,212.54441882745175,1433.8274751813913,0,0.08056060000672005,188,4.80130063657974e-14,0
velocity_obstacle_proxy,Velocity-obstacle proxy,open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,1,1,0,0,0,target_reached,28.2,0.2671630296118707,0.0005036848439412545,1.659206165891018,0.0,0.0,0.0,0.0,4.685454763757121e-16,0.0,0.0,212.54441882745175,1433.8274751813913,0,0.07953810002072714,188,4.80130063657974e-14,0
cbf_wrench_local,Local CBF wrench filter,open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,1,1,0,0,0,target_reached,28.2,0.2671630296118707,0.0005036848439412545,1.659206165891018,0.0,0.0,0.0,1.748626248626511e-12,6.982611777063469e-16,0.0,0.0,212.5444188274517,1433.8274751813922,1504,0.08535280000069179,188,7.993605777301127e-15,0
damped_hamiltonian_raw,Damped Hamiltonian (RAW),open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,1,1,0,0,0,target_reached,32.55,0.2733898539549383,0.0017720898376625271,1.6592061658910175,0.0,0.0,0.0,0.0,6.107008623527153e-16,0.0,0.0,197.46855406095216,1378.278725358165,0,0.09582710001268424,217,4.7106960487667916e-14,0
damped_hamiltonian_cbf,Damped Hamiltonian + CBF,open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,1,1,0,0,0,target_reached,32.55,0.2733898539549383,0.0017720898376625271,1.6592061658910175,0.0,0.0,0.0,1.9397450040358857e-12,3.708353277384168e-16,0.0,0.0,197.4685540609521,1378.278725358165,1736,0.09033909998834133,217,6.720289191984444e-15,0
distributed_preview_cbf,Distributed preview-CBF,open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,1,1,0,0,0,target_reached,33.6,0.2726842564153356,0.002155999073416126,1.6592061658910175,0.0,0.0,0.0,1.8009715739570408e-12,5.647451656239409e-16,0.0,0.0,191.44053532313734,1295.254530853337,1792,0.0992882999998983,224,7.993605777301127e-15,0
centralized_preview_reference,Centralized preview reference,open_nominal,575100,4,8f97b665219a53094f7f87ffd884b4e5c546977e6937e8de1f9666c277c4f672,1,1,0,0,0,target_reached,35.25,0.2751326095870626,0.0010453402401080503,1.659206165891018,0.0,0.0,0.0,1.8885405688846076e-12,5.4831332471141e-16,0.0,0.0,185.25031943956623,1254.1352886540299,2820,0.11577830000896938,235,7.944109290391274e-15,0
pose_pd_raw,Pose PD (RAW),open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,1,1,0,0,0,target_reached,28.2,0.2704215831031699,0.0005036848439412545,1.659206165891018,0.0,0.0,0.0,0.0,6.985483984752364e-16,0.0,0.0,217.71380014635255,1468.6898753416679,0,0.08595639999839477,188,4.4550802883181196e-14,0
apf_wrench_heuristic,APF wrench heuristic,open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,1,1,0,0,0,target_reached,28.2,0.2704215831031699,0.0005036848439412545,1.659206165891018,0.0,0.0,0.0,0.0,6.985483984752364e-16,0.0,0.0,217.71380014635255,1468.6898753416679,0,0.08336399999097921,188,4.4550802883181196e-14,0
