scenario_generator,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_tuned_parameters,method_uses_neural_policy,method_uses_decoder,n,arrival_success_rate_mean,timeout_rate_mean,mean_arrival_time_s_mean,max_arrival_time_s_mean,travel_distance_m_mean,mean_path_length_m_mean,path_efficiency_ratio_mean,energy_proxy_wh_mean,collision_count_mean,collision_rate_mean,safety_violation_count_mean,min_robot_clearance_m_mean,min_obstacle_clearance_m_mean,mean_clearance_m_mean,mean_speed_mps_mean,max_speed_mps_mean,max_speed_violation_mps_mean,congestion_delay_s_mean,communication_messages_mean,runtime_ms_mean,score_value_mean,reference_score_value_mean,signed_score_delta_vs_reference_mean,performance_gap_vs_reference_mean,optimality_gap_vs_reference_mean,arrived_robots_mean,timed_out_robots_mean
cluttered_warehouse,apf_obstacle_avoidance,APF obstacle avoidance,classic,decentralized,baseline,artificial_potential_field,sp4_motion_baseline,none,local_apf_feedback,local_obstacle_robot_neighbors,0,4,False,False,50,1.0,0.0,23.79,25.934399999999997,125.47922809334534,15.684903511668168,1.011429697722511,969.1612194559357,172.22,0.06426119402985074,223.06,-0.5142485255992522,-0.32066044761027557,4.83188344737621,0.39017172914597437,0.7172328012232576,0.0,1.6985702117778039,18704.0,92.34335399931297,-109.5879080467371,-14.426495083593878,-95.16141296314325,0.11895176620392905,0.11895176620392905,8.0,0.0
cluttered_warehouse,cbf_safety_filter,CBF safety filter,sota,centralized,baseline,cbf_velocity_projection_proxy,sp4_motion_sota_proxy,none,centralized_cbf_velocity_projection_proxy,global_relative_state,0,6,False,False,50,1.0,0.0,27.967499999999994,32.16,149.52814200492946,18.691017750616183,0.8491925423269825,1154.7120331508972,51.94,0.019380597014925373,70.34,-0.10507238278850815,-0.3503548235074092,4.762556503498065,0.4649506903138355,0.7328248186411546,0.0,5.8760702117778045,18704.0,172.97428399091586,-15.704744408414353,-14.426495083593878,-1.2782493248204778,0.010251034661501174,0.010251034661501174,8.0,0.0
cluttered_warehouse,direct_to_target,Direct to target,classic,decentralized,baseline,direct_single_integrator,sp4_motion_baseline,none,local_target_feedback,none,0,0,False,False,50,1.0,0.0,21.698099999999997,23.616000000000003,124.34786537449229,15.543483171811536,1.020631938782441,960.6703473587456,232.28,0.08667164179104477,282.6,-0.5186469434218123,-0.6675682623750102,4.896793078765873,0.38665381024406814,0.7796008708948452,1.9095836023552692e-16,0.0,18704.0,20.253548005130142,-159.6921341544832,-14.426495083593878,-145.26563907088936,0.1815820488386117,0.1815820488386117,8.0,0.0
cluttered_warehouse,energy_aware_smith_motion,Energy-aware Smith motion,model_based,decentralized,proposed,smith_qr_energy_congestion_field,sp4_motion_proposed,none,distributed_smith_qr_energy_motion_field,local_congestion_energy_neighbors,0,7,False,False,50,0.9875,0.0125,32.0691,36.727199999999996,153.51179174426426,19.188973968033032,0.8271795409563603,1184.2108058601452,59.38,0.022156716417910446,79.52,-0.06951547002321673,-0.407281245667089,4.636114152186155,0.4773376608963442,0.65486473155167,0.0,10.087970211777803,18704.0,253.51413999684155,-32.465361645324656,-14.426495083593878,-18.038866561730785,0.028106985529990903,0.028106985529990903,7.9,0.1
cluttered_warehouse,priority_yield,Priority yield,classic,centralized,baseline,priority_release_yield,sp4_motion_baseline,none,centralized_priority_schedule,global_priority_order,0,2,False,False,50,1.0,0.0,24.585600000000003,26.887200000000004,125.29167438673689,15.66145929834211,1.0129537339125323,967.9447389809942,233.26,0.08703731343283583,281.02,-0.5162637697910141,-0.764384692185821,4.770802467738684,0.389588539759754,0.7172328012232576,0.0,2.4941702117778033,18704.0,41.74988201353699,-165.47012799369804,-14.426495083593878,-151.04363291010415,0.18880454113763018,0.18880454113763018,8.0,0.0
cluttered_warehouse,reference_time_expanded_cbf,Reference time-expanded CBF,model_based_reference,centralized,reference,time_expanded_safe_cbf_reference,sp4_motion_reference,none,centralized_time_expanded_cbf_reference,global_state_and_release_schedule,0,8,False,False,50,1.0,0.0,27.5172,31.785599999999995,149.1059444607137,18.63824305758921,0.8516747488834178,1151.2085212684633,51.46,0.01920149253731343,72.84,-0.09151792312240009,-0.3181658830335585,4.79196047352763,0.46363788700470665,0.7484168360590512,0.0,5.425770211777803,18704.0,192.78221000218764,-14.426495083593878,-14.426495083593878,0.0,0.0,0.0,8.0,0.0
cluttered_warehouse,smith_motion_field,Smith-QR motion field,model_based,decentralized,proposed,smith_qr_congestion_field,sp4_motion_proposed,none,distributed_smith_qr_motion_field,local_congestion_price_neighbors,0,6,False,False,50,0.9975,0.0025,28.700271428571433,33.002399999999994,153.2826335536032,19.1603291942004,0.8283754630939764,1182.843598565452,52.58,0.019619402985074627,70.0,-0.07266765135443805,-0.4241643896401679,4.78179256824712,0.4766255637145245,0.7328248186411546,0.0,6.639970211777804,18704.0,216.09586800681427,-19.04492253162634,-14.426495083593878,-4.61842744803246,0.017294924669927644,0.017294924669927644,7.98,0.02
cluttered_warehouse,velocity_obstacle_proxy,Velocity obstacle proxy,sota,decentralized,baseline,velocity_obstacle_proxy,sp4_motion_sota_proxy,none,local_velocity_obstacle_proxy,local_relative_state_neighbors,0,5,False,False,50,1.0,0.0,24.267,26.436,125.21135680702126,15.651419600877658,1.0135933535590593,967.0474102182624,193.74,0.0722910447761194,242.32,-0.5224797709237972,-0.3849394608950124,4.803394141719725,0.3893387960417327,0.7016407838053605,0.0,2.1755702117778033,18704.0,119.33694799197838,-129.54268006241387,-14.426495083593878,-115.11618497882,0.143895231223525,0.143895231223525,8.0,0.0
communication_limited,apf_obstacle_avoidance,APF obstacle avoidance,classic,decentralized,baseline,artificial_potential_field,sp4_motion_baseline,none,local_apf_feedback,local_obstacle_robot_neighbors,0,4,False,False,50,1.0,0.0,22.9305,27.203999999999997,120.84709713273256,15.10588714159157,1.0212048511558638,913.3162972493549,94.26,0.039144518272425245,123.4,-0.46875668537975684,18.0,12.22439888231036,0.41821392972291166,0.7253218606004275,0.0,1.4400211602484632,5685.76,65.32690599327907,-46.3551681955153,26.785632423935805,-73.14080061945111,0.09145191965485132,0.09145191965485132,8.0,0.0
communication_limited,cbf_safety_filter,CBF safety filter,sota,centralized,baseline,cbf_velocity_projection_proxy,sp4_motion_sota_proxy,none,centralized_cbf_velocity_projection_proxy,global_relative_state,0,6,False,False,50,0.9975,0.0025,26.625857142857143,32.08559999999999,142.7159599211308,17.83949499014135,0.8653075547242733,1080.5487329444434,11.18,0.004642857142857143,17.24,-0.048042587274466655,18.0,12.052250781501497,0.4938952101368037,0.7410897271352194,0.0,5.156421160248462,16800.0,116.69230400118977,23.581604345049637,26.785632423935805,-3.204028078886164,0.009846050627180863,0.009846050627180863,7.98,0.02
