experiment_id,scenario_generator,scenario_variant_id,seed,method,passed,rates_valid,finite_metrics,speed_valid,message
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5107,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5107,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5107,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5107,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5107,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5107,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5107,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5108,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5108,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5108,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5108,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5108,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5108,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5108,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5108,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5109,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5109,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5109,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5109,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5109,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5109,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5109,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5109,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5110,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5110,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5110,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5110,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5110,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5110,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5110,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5110,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5111,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5111,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5111,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5111,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5111,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5111,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5111,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5111,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5112,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5112,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5112,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5112,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5112,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5112,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5112,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5112,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5113,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5113,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5113,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5113,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5113,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5113,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5113,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5113,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,open_field_arrival,open_field_arrival_v00,5114,direct_to_target,True,True,True,True,
