method,runs,feasible_rate,median_regret_per_task,q25_regret_per_task,q75_regret_per_task,median_welfare_efficiency,median_iterations,median_evaluations,median_runtime_s
hungarian,8,1.0,0.0,0.0,0.0,1.0,1.0,24.0,8.800001523923129e-06
auction_eps,8,1.0,0.0,0.0,0.0,1.0,89.5,422.0,0.0005111000027682167
greedy,8,1.0,0.010780221560080329,0.0,0.021394981413452613,0.9882443302966539,4.0,24.0,1.974999759113416e-05
potential_br,8,1.0,0.056186445131160445,0.004947782068731803,0.151779259532818,0.9329557325005544,4.0,60.0,0.0015681000004406087
potential_exchange,8,1.0,0.0,0.0,0.0,1.0,5.0,77.0,0.0016399499982071575
no_exclusion,8,0.0,,,,0.35328386183704413,0.0,30.0,0.0007613999987370335
