contrast,n_pairs,mean_difference,ci95_low,ci95_high
potential_exchange - potential_br,8,-0.07872384211339198,-0.12885615008004597,-0.029648741892490935
auction_eps - hungarian,8,0.0,0.0,0.0
potential_exchange - greedy,8,-0.017918171394479897,-0.034377384255114225,-0.004025612313779372
