check,passed,evaluated_cases
exact_nash_equals_feasible,True,3
exact_nash_count_equals_injections,True,3
potential_best_response_is_feasible,True,8
pairwise_exchange_is_monotone,True,8
auction_epsilon_cs,True,8
auction_additive_bound,True,8
ablation_exposes_missing_exclusion,True,8
