method,n_robots,n_tasks,runs,feasible_rate,median_regret_per_task,q25_regret_per_task,q75_regret_per_task,median_welfare_efficiency,median_iterations,median_evaluations,median_runtime_s
hungarian,4,2,2,1.0,0.0,0.0,0.0,1.0,1.0,8.0,1.049999991664663e-05
auction_eps,4,2,2,1.0,0.0,0.0,0.0,1.0,297.0,1188.0,0.0018184000000474043
greedy,4,2,2,1.0,0.0,0.0,0.0,1.0,2.0,8.0,1.4400004147319123e-05
potential_br,4,2,2,1.0,0.1801346594150055,0.17079793756086276,0.18947138126914825,0.7856580312126158,2.0,24.0,0.0005813999996462371
potential_exchange,4,2,2,1.0,0.0,0.0,0.0,1.0,3.0,34.0,0.0006092999974498525
no_exclusion,4,2,2,0.0,,,,0.35980000307719306,0.0,12.0,0.0003716999963216949
hungarian,4,4,2,1.0,0.0,0.0,0.0,1.0,1.0,16.0,7.300001016119495e-06
auction_eps,4,4,2,1.0,0.0,0.0,0.0,1.0,4.5,18.0,5.48999996681232e-05
greedy,4,4,2,1.0,0.05093775188165166,0.03839470235916823,0.06348080140413509,0.9389312657413362,4.0,16.0,1.469999915570952e-05
potential_br,4,4,2,1.0,0.056186445131160445,0.046267742233431414,0.06610514802888948,0.9329557325005544,4.0,40.0,0.0009898500029521529
potential_exchange,4,4,2,1.0,0.0,0.0,0.0,1.0,5.0,52.0,0.0010239500006719027
no_exclusion,4,4,2,0.0,,,,0.4745869341476019,0.0,20.0,0.0004865499977313448
hungarian,8,4,2,1.0,0.0,0.0,0.0,1.0,1.0,32.0,8.250000973930582e-06
auction_eps,8,4,2,1.0,0.0,0.0,0.0,1.0,655.5,5244.0,0.004421000001457287
greedy,8,4,2,1.0,0.009191910141692787,0.0045959550708463935,0.01378786521253918,0.9900967160908071,4.0,32.0,2.725000013015233e-05
potential_br,8,4,2,1.0,0.074275970404092,0.037137985202046,0.11141395560613801,0.9199757165590536,4.0,80.0,0.0022801000013714656
potential_exchange,8,4,2,1.0,0.0,0.0,0.0,1.0,6.0,146.0,0.002347649999137502
no_exclusion,8,4,2,0.0,,,,0.28932743837747377,0.0,40.0,0.001062750001437962
hungarian,8,8,2,1.0,0.0,0.0,0.0,1.0,1.0,64.0,9.999999747378752e-06
auction_eps,8,8,2,1.0,0.0,0.0,0.0,1.0,21.0,168.0,0.00016110000069602393
greedy,8,8,2,1.0,0.01154302355457515,0.0073598231956751164,0.015726223913475182,0.9869159277429029,8.0,64.0,6.595000013476238e-05
potential_br,8,8,2,1.0,0.004298293503309944,0.003648804937888085,0.004947782068731803,0.9950933673040494,8.0,144.0,0.0035037499947065953
potential_exchange,8,8,2,1.0,0.0,0.0,0.0,1.0,9.5,214.0,0.003594699996028794
no_exclusion,8,8,2,0.0,,,,0.30995948640632437,0.0,72.0,0.001914049997139955
